Comment,Sentiment_Score
doubt fill 60000 stadiumanywher el wouldnt feel,-0.3612
current price fill v unitedwesthamliverpool arsenalspur mayb citi stretch anybodi el,0.0
current price fill v unitedwesthamliverpool arsenalspur mayb citi stretch anybodi el,0.0
bet reason high price fairli small capac stamford big stadium tend reason price ticket avail well expens one everi seat premium price small capac,0.2732
arsen didnt cheap see you boat support alway loos,0.4019
arsen didnt cheap see you boat support alway loos,0.4019
samsung remain fanci samsung colliseumin homag emperor roman,0.0
super frank arena,0.5994
sumsang arena bloodi apt name you librari,0.0
sorri last thing forgiv state,0.0
honest bayern good exampl someth could emul allianz arena capac 71000 ticket around 10 euro ive heard theori could sure someth similar mean get fill there still larg amount money come gener fan actual afford go game fan one carlashton blue mention also still afford cours sound simpl you could probabl complic,0.9022
im sorri blunt anyon think ticket price could go move large live cloud cuckoo land,0.0
your correct fatti,0.0
samsung arena well theyr go put substanti amount project everi right expect name light speak peopl might idea right arsen fan use emir im sure could use whatev call bottom line wouldnt stamford wouldnt renam current home,0.6908
releas info redevelop stamford last year here info seem relev discuss,0.0
extend sure take long summer complet mean less fan attend complet playint footi elsewher readi,0.6133
current site issu massiv shame,-0.4767
honest bayern good exampl someth could emul allianz arena capac 71000 ticket around 10 euro ive heard theori could sure someth similar mean get fill there still larg amount money come gener fan actual afford go game fan one carlashton blue mention also still afford cours sound simpl you could probabl complic,0.9022
im sorri blunt anyon think ticket price could go move large live cloud cuckoo land,0.0
isnt footbal infrastructur germani subsid nearli entir govern,0.0
id love you groundstand build never happen though sadli,0.6369
large stadium guarante success newcastl attest west ham soon find success combin success large revenu possibl big stadium integr longterm growth anyth lilli situat attest administr desir build expand lead futur legaci import opinion,0.9432
id love you groundstand build never happen though sadli,0.6369
httpwwwinsideworldfootballcompremierleague12693chelseasnewstadiumcouldbebackonwithnewbuildsiteavail,0.0
zola reliabl blog subject imo,0.0
zola reliabl blog subject imo,0.0
never know,0.0
break news chelsea build speak need lego brick though,0.0
break news chelsea build speak need lego brick though,0.0
help hornbi rail link footbridg help egress,0.6597
break news chelsea build speak need lego brick though,0.0
camaraderi shed end outstand need like buck gourlay fine upstand spirit behind,0.6124
that good point who bring spirit mine whiskey,0.5574
there certain apt fact lilli railway depot stamford destin sell great western,0.7351
fair buck gener quit affabl,0.3182
either your schizophren buck,0.0
either your schizophren buck,0.0
know,0.0
last game go fa youth cup final second leg match norwicha fiver inarrang short noticem old bruv go along great nightjust shame resultstil fair bloodi good valu though,0.7351
peopl think whisper surround linford christi wormwood scrub,0.0
well move look increasingli like north west wormwood scrub old oak common white citi may viabl borough im mistake hammersmith fulham,0.296
take interest thing three site north sb ie north river alreadi wherea battersea site weve link south river thing meaning particularli london,0.4588
peopl think whisper surround linford christi wormwood scrub,0.0
hate silenc handful men realli know what happeningth behind scene stuff must immensewhenhowsomeon need say someth frankli ive get point care whatev job do do,-0.128
hate silenc handful men realli know what happeningth behind scene stuff must immensewhenhowsomeon need say someth frankli ive get point care whatev job do do,-0.128
transfer except talk hundr million £ ten there mani thing work arent go announc anyth substanti,0.0
httpwwwthesuncouksolhomepagesportfootball5086300chelseainsecrettalkswithlocalcounciloverstamfordbridgedevelopmenthtml,0.0
seem solut keep side happi except mayb local resid,0.0
play goe ahead build site,0.34
seem solut keep side happi except mayb local resid,0.0
hush hush someon write,0.0
hush hush someon write,0.0
cant believ roman actual go meet sure buck someon,0.3182
correct even look chang angl pitch,0.0
,0.0
,0.0
hush hush someon write,0.0
hush hush someon write,0.0
wouldnt build though pitch big stand arent go far away frmo add capac youd build creat stand top exist one,0.2023
stamford sit 119 acr central london larg enough current capac 41837 gener accept architect construct compani 60000 requir approxim 1820 acr land larg squar rectangular shape,0.3818
post cfcnet,0.0
,0.0
quit upset cant upgrad,-0.3818
hasnt state need move obvious seat expans major prioriti administr word need move wish someth could do even spur easy go move havent complet yet still cant baromet need realli push pedal order build 60000 seater room expans mention articl,0.6808
know obsess stay cramp london sw plenti space around back 60 acr 35 4hr prefect,-0.4215
must admit opinion chang quit happi stay recent seem sell home game quit quickli non member mate longer ticket hasnt case previou season alway felt 60000 bit top heavi wouldnt fill becom self suffici need extra revenu addit crowd bring let make hard decis sort battersea good goer feel anywher old heartland must maintain ident top leagu game almost member could go capit cup game tenner ticket,0.7096
love sit main support stand without watch game letter box,0.7845
love sit main support stand without watch game letter box,0.7845
well ask nice neighbour might let watch,0.5994
ha ha brilliant agre xfactor view shock back mhl,0.7184
im shed low fella normal ff ok wont abl see high ball goal kick etc im ee soton game hope good atmospher shed low offer fulham still letter box say xfactor take ticket sing heart enjoy game,0.8689
mhl back time felt back shed low atmospher good back mhl,0.2023
speak mhl shock view offer coupl ticket row ff far back actual want see match,0.128
ye aw away toward back mhl bad seat imagin nearli get creak neck tri see action feck roof never,-0.5423
mhl back time felt back shed low atmospher good back mhl,0.2023
might sound silli go game bet creat good atmospher mind get bet much atmospher sht id piss atmospher pint game want sit quit go theatr,0.128
might sound silli go game bet creat good atmospher mind get bet much atmospher sht id piss atmospher pint game want sit quit go theatr,0.128
similar experi villa home year guess log 659 day ticket go sale hope best,0.7964
spot bluegraham im perform pitch import differ beer match celebratori rubi win,0.5859
mention match shame hope ticket palac monday go ill meet beer,-0.4588
cheap date,0.0
munch ive still get old pound note,0.0
big hand write one,0.4939
sadli abl make palac im work next match southampton ill def meet light ale ive drinik lilli princ wale season happi anywher alcohol honest lol,0.5106
blimey abl sing chelsea song year round sure time law pas chat graham must tri goos pm match hope sort someth,0.6369
hassel,0.0
chelsea’ realist hope match £ million earn unit arsen move large chelsea’ chairman bruce buck point stamford eight large premier leagu 60th big europ,0.4404
shame cant buy surround build make space find way expand,-0.2023
,0.0
rememb ticket price probabl go make much access big capac well problem fill 95 bear mind 60k capac mean 3000 6000 ticket away support,0.2732
rememb ticket price probabl go make much access big capac well problem fill 95 bear mind 60k capac mean 3000 6000 ticket away support,0.2732
nice idea realsit pipe dream,0.5859
say 3000 6000 away fan alloc 5 10 depend game arsen give you 9000 ticket coc game that 10,0.3182
cours cup game away alloc big 6000 reduc price add howev premiership game bread butter term revenu alloc great 3000,0.6249
arsen pay entir thing though much choic im sure abramovich take heat,0.2263
chelsea fill 60000 seater current prize way,0.5106
abramovich may invest heavili project like form interest free loan still ticket prce go,0.8316
there logic fork £500m reduc ticket price bare worth move first place aim gener much incom possibl plu pay top expens lot fan go end disappoint theyr expect result cheap ticket,0.2263
see 60000 seater sell current ticket price cant chelsea hope make money hospit ticket guess moment,-0.3412
nan,0.0
60000 peopl pay £30 gener bare matchday revenu current club point view move worthwhil financi otherwis bother extra 10000 fan pay current price probabl worth,0.0
nobodi say £30 never cheap cours worthwhil financi cant see sell current price move fan even old fan back go current price wont sell,0.5574
main aim gener much money possibl win back old fan cheap ticket im sure wed sell 60000 current price either know anoth ten year success last ten mayb perhap im cynic fulli expect charg much away still reason full stadiumquot,0.8658
younger lot also spend sht ton overpr beer assort odd end extra price beer alon pay 350000 wage year compar team add anoth 1520000 thirsti lad n lass,-0.4019
chelsea’ realist hope match £ million earn unit arsen move large chelsea’ chairman bruce buck point stamford eight large premier leagu 60th big europ,0.4404
look immens think dead water also,-0.6486
look immens think dead water also,-0.6486
outbid there much could perhap prototyp sketch look sweet know exampl wouldnt pitch far fan,0.2589
move battersea amaz,0.0
battersea ground get sell someon last year didnt,0.0
bit read seem wait wing thing break malaysian develop current bid see wouldnt award you consid want restor icon build part design think council prioritis seem unlik well ever see best europ imo,0.5789
bit read seem wait wing thing break malaysian develop current bid see wouldnt award you consid want restor icon build part design think council prioritis seem unlik well ever see best europ imo,0.5789
thought do deal last propos move saw suggest lill north usit train yard big site toother use time get destroy riot battersea wouldl ideal though,-0.5719
noth short scandal way bp site allow rot fall apart sinc mid 1980 ever sinc chang hand time care rememb alway hand specul develop come grand scheme amount jack,0.891
battersea superb best europ certainli icon doubt well,0.836
batterseapowerstationpublicexhibitioninvitationflyer1pdf,0.0
bit read seem wait wing thing break malaysian develop current bid see wouldnt award you consid want restor icon build part design think council prioritis seem unlik well ever see best europ imo,0.5789
mad cup final play lill depot,-0.2023
mayb ground share olymp,0.296
battersea dortmundstyl stand whatnot look amaz gut couldnt,0.0
surpris nobodi post stori yet httpwwwstandardcouknewslondonqprunveilsplanfornew40000seatstadiumatoldoakinwestlondon9002273html,0.0
surpris nobodi post stori yet httpwwwstandardcouknewslondonqprunveilsplanfornew40000seatstadiumatoldoakinwestlondon9002273html,0.0
must plan go mad spend spree soon,-0.4939
haha okay assum relat chelsea develop didnt realis anyon consid qpr actual rival,0.5994
noth short scandal way bp site allow rot fall apart sinc mid 1980 ever sinc chang hand time care rememb alway hand specul develop come grand scheme amount jack,0.891
way qpr ever gonna 20000 even prem,0.0
must plan go mad spend spree soon,-0.4939
coventri tell ricoh play ccfc 100 empti,0.34
coventri tell ricoh play ccfc 100 empti,0.34
httpcfctruthblogspotcouk201312localelectionmattershtml,0.0
news last week relat situat,0.0
let keep finger cross someth chelsea,0.0
heard rumour yesterday plan draw redevelop stamford 60000 seater feel seem prefer option parti approv sure extra go though specul well move elsewher build work do sound promis though,0.5267
heard rumour yesterday plan draw redevelop stamford 60000 seater feel seem prefer option parti approv sure extra go though specul well move elsewher build work do sound promis though br anyon el hear similar,0.5267
heard rumour yesterday plan draw redevelop stamford 60000 seater feel seem prefer option parti approv sure extra go though specul well move elsewher build work do sound promis though,0.5267
ive heard noth rememb council tri you stay stamford probabl troubl come plan think say prohibit expens expand,0.3182
that true simpli isnt space around ground build unless hotel offic knock also say mani time wouldnt allow kind number lack exit ground,-0.4878
here quot rememb,0.0
real room earl court 60000 seater,0.0
heard rumour yesterday plan draw redevelop stamford 60000 seater feel seem prefer option parti approv sure extra go though specul well move elsewher build work do sound promis though,0.5267
could go second home wembley,0.0
go olymp cant believ west ham go ever go even half fill,0.0
buy twickenham rfu lea back five day year actual use,0.0
idea englishman sister live walk distanc twicker less grow fantast idea,0.0
go olymp cant believ west ham go ever go even half fill,0.0
buy twickenham rfu lea back five day year actual use,0.0
wrong side london complet lose ident,-0.7003
look realli shabbi,0.0
realli sinc redevelop concert seem alright certainli look lot good outsid 30 year ago,0.5994
idea englishman sister live walk distanc twicker less grow fantast idea,0.0
thing alway level you fact sell sb point build ground even increas capac sever team support particular dipper spud seem main offend,0.128
close stamford,0.0
saw imag,0.0
twickenham 78 mile fulham particularli close crucial still west london ive idea ever feasibl im selfishli like idea home turf albeit last live area teen year two back good pub area id know park ie sister,0.6597
second side view stadium look good around edg whenev drive past look pretti impress front view,0.7003
ive twickenham rugbi match pretti nice littl way charact way wed though six nation right middl premier leagu season usual christma tour southern hemispher come spank you go build cant expand im actual fine design battersea magnific even cant extrapol roman want someth uniqu,0.6923
look nice mayb bit touch make look chelsea sure could fill 82 000 though,0.6249
ive twickenham rugbi match pretti nice littl way charact way wed though six nation right middl premier leagu season usual christma tour southern hemispher come spank you go build cant expand im actual fine design battersea magnific even cant extrapol roman want someth uniqu,0.6923
ive twickenham rugbi match pretti nice littl way charact way wed though six nation right middl premier leagu season usual christma tour southern hemispher come spank you go build cant expand im actual fine design battersea magnific even cant extrapol roman want someth uniqu,0.6923
surpris see mani peopl consid twickenham decent option,0.0
surpris see mani peopl consid twickenham decent option,0.0
peopl need stop worri cost individu match ticket that go chang much impact big need fill extra revenu come two main sourc 1 corpor area nowher near enough sb there huge money make tourist tourist come london want see well know london play footbal currenlti lot that chelsea cant ticket easili tourist becom attach theyv see go home buy kit everi year famili peopl around thing spread sudden world wide fan base increas dramat mean even revenu market far flung part world,0.7351
peopl need stop worri cost individu match ticket that go chang much impact big need fill extra revenu come two main sourc 1 corpor area nowher near enough sb there huge money make tourist tourist come london want see well know london play footbal currenlti lot that chelsea cant ticket easili tourist becom attach theyv see go home buy kit everi year famili peopl around thing spread sudden world wide fan base increas dramat mean even revenu market far flung part world,0.7351
twickenham resid hate idea lol idea nasti work class footbal fan invad nice middl class area idea even serious local opposit huge,0.6369
look bp design realli depress love,0.25
surpris see mani peopl consid twickenham decent option,0.0
prefer thisit take long malaysian cant battersea nowso near river thame fantast locat,0.0
6 nation 2 game spring 3 next possibl ensur play away england fixtur autumn intern three novemb could ensur away play midweek avoid clash,0.3818
6 nation 2 game spring 3 next possibl ensur play away england fixtur autumn intern three novemb could ensur away play midweek avoid clash,0.3818
wigan regular rugbi ground,0.0
imagin hassl involv contenti respray remov play area line rugbi footbal also rugbi often larg paint advertis play surfac need remov,0.5859
wigan regular rugbi ground,0.0
yeah look that get thembr br br honest noth el rfu need incom ground share bring pride twickenham home rugbi fan welcom footbal team play br br ground share olymp like ground holder recent say wouldnt rule west ham share leyton orient maximis revenu back cost build convers footbal,0.9565
haha wouldnt rugbi team play major detriment success lack resourc fan howev,0.6872
neither honest,-0.4023
grass inspector wouldnt happi expens light wast chop pitch,0.0
yeah look that get,0.296
bugger west east london wouldnt,0.0
chelsea still tri negoti battersea realli quiet matter recent,0.0258
chelsea still tri negoti battersea realli quiet matter recent,0.0258
70000 peopl build bridg tunnel 100 year access roman know cant take money enjoy fk hammersmith fulham council time sweet,0.0956
fail bid site go malaysian consortium build offic space apart site,-0.5423
well still slightli possibl unlik site desol around 30 year chang hand constantli everyon far fail develop land possibl malaysian differ project joint anoth compani mean relat could break im sure time limit though could 10 year theyr forc sell anyth,0.4767
hate leav must cant expand significantli,-0.687
yup consortium alreadi begin work sinc success bid,0.5719
idea id happi twicker short term measur see happen might even take lot long kick you build work take place know,0.0
chanc battersea good zero unless setia run seriou unforeseen difficulti seem unlik give unpreced financi polit back project stand offer tabl you take power station setia hand also contribut financi tube station seem turn nose phase redevelop includ work power station alreadi start,0.7269
realli much though expans wise,0.4767
imagin hassl involv contenti respray remov play area line rugbi footbal also rugbi often larg paint advertis play surfac need remov,0.5859
thing alway level you fact sell sb point build ground even increas capac sever team support particular dipper spud seem main offend,0.128
let keep finger cross someth chelsea,0.0
realli much though expans wise,0.4767
well local repres world class exhibit space provid job opportun long term option let hope someth happen,0.6124
need 60 k,0.0
anyon know fast take build 2 year max,0.0
2 year min id say take 5 6 build wembley,0.0
anyon know fast take build 2 year max,0.0
citi extend 65k,0.1779
citi extend 65k,0.1779
yeah alot easy 2 manchest club ground basic surround open land,0.6249
yeah alot easy 2 manchest club ground basic surround open land,0.6249
yeah alot easy 2 manchest club ground basic surround open land,0.6249
know case wish think ive heard malaysian may unabl come plan anyon know anyth,0.4019
lot rumour deal none confirm,0.0
that gather sometim peopl realli want someth happen look wont theyll cling glimmer hope,0.4939
read somewher massiv problem sewer cant find anywher,-0.4019
read somewher massiv problem sewer cant find anywher,-0.4019
that cheer,0.5106
httpwwwprimeresicomsupersewercouldrendersomeapartmentsunsellablebatterseapowerstation30125,0.0
interest show bbc last night power london leav rest uk behind,0.4588
interest show bbc last night power london leav rest uk behind,0.4588
mad id love stink rich,0.4404
what keep malaysian get start,0.0
plan batter wouldv great seem like end hold breath noth besid updat move old train station chelsea fc go end call home futur,0.765
fresh updat suppos,0.3182
nope,0.0
what keep malaysian get start,0.0
watch programm expans london etc malaysian consortium theyv alreadi sell hundr apart havent even build yet go ahead doesnt look like way,-0.2755
there enough squar footag around stamford expand current 5 thousand big enough want,0.3818
yeah saw send shiver spine yet think quit awesom involv engin clout boot basic move two chimney four chimney actual four corner imagin mostli blue four white chimney lit spotlight night,0.296
battersea lay empti mani year b sad you,-0.4767
anoth instanc local cultur imped businessmen oversea sadden love see revamp stamford mani say cannot see logic way want large capac venu need move much hate think leav eventu necess,-0.4215
local elect next month labour vote lbhf littl kinder you conserv far expansionec goe,0.4939
there enough squar footag around stamford expand current 5 thousand big enough want,0.3818
big disappoint cant stand properti develop even live icon land seek make second home filthi rich,0.2263
big disappoint cant stand properti develop even live icon land seek make second home filthi rich,0.2263
call battersea probabl samsung,0.0
lot probabl gonna im sad think earlier inevit samsung want brand wue move samsung doesnt sound right galaxi sound much good even though sound american lol,0.4404
coliseum,0.0
chelsiym,0.0
coliseum,0.0
honestli guy luxuri apart much benefici london economi sport debunk sport stadium bring kind econom growth area stadium sit idl year wrong battersea amaz,0.4404
honestli guy luxuri apart much benefici london economi sport debunk sport stadium bring kind econom growth area stadium sit idl year wrong battersea amaz,0.4404
wouldnt look renam power station sound apt,0.0
wouldnt look renam power station sound apt,0.0
could spur knock build groundshar team mk don season 2,0.0
possibl share differ build temporari,0.296
could spur knock build groundshar team mk don season 2,0.0
could spur knock build groundshar team mk don season 2,0.0
could spur knock build groundshar team mk don season 2,0.0
wouldnt look renam power station sound apt,0.0
could call fortress do let face never go lose game home jose helm,0.3089
well do youv jinx well lose next,0.128
lot probabl gonna im sad think earlier inevit samsung want brand move samsung doesnt sound right galaxi sound much good even though sound american lol,0.4404
honestli guy luxuri apart much benefici london economi sport debunk sport stadium bring kind econom growth area stadium sit idl year wrong battersea amaz,0.4404
cant stand think overpr apart london honest apart own obscen rich folk sit idl year aswel theyr usual galliv show wealthi,0.7845
lol class warfar much,0.4215
lol class warfar much,0.4215
ill admit bit bitter work class man valid point though london need exclus plush apart anyth need afford hous work man london price peopl big time,-0.5859
ill admit bit bitter work class man valid point though london need exclus plush apart anyth need afford hous work man london price peopl big time,-0.5859
manhattan san francisco washington dc call gentrif gentrif lead low crime rate yeah rent gonna rise cost live desir place fact life london desir place live guess prefer roman abramovich never move london,-0.5267
